ticker,data_quality,data_start,data_end,months_analyzed,sharpe,sortino,mdd,mdd_peak_date,mdd_trough_date,calmar,var_95,cvar_95,cagr,annual_vol,rolling_sharpe_mean,rolling_sharpe_std,rolling_sharpe_min,sharpe_consistency,sharpe_score,sortino_score,calmar_score,mdd_score,var_cvar_score,risk_adjusted_score,tier
ASML,COMPLETE,2021-01-04,2026-01-23,60,0.44986833827949796,0.9842517104430609,-0.5686183850599785,2021-09-15,2022-10-14,0.389703297210986,-0.15242824477895156,-0.1737218996563021,0.2215924595126597,0.3992111563118741,0.21490902812182683,0.28348485478237895,-0.22046598762701025,0.0,0.0,12.0,0.0,0.0,0.0,12.0,TIER_3_EXCLUDED
AVGO,COMPLETE,2021-01-04,2026-01-23,60,1.2330914185847104,2.6100577483669554,-0.4114967470745902,2024-12-16,2025-04-04,1.243749356276076,-0.12056335759581954,-0.15100697567346863,0.5117988142837209,0.3809926881357555,1.537919394033065,0.4158589692666679,0.8903640850453864,0.96,20.1,25.0,20.0,4.95,0.0,70.05,TIER_3_EXCLUDED
BA,COMPLETE,2021-01-04,2026-01-23,60,0.031744582702657835,0.05343231086596514,-0.5695976835708434,2021-03-12,2022-06-13,0.09414689664802564,-0.14669846308444395,-0.21918705698536298,0.053625854246099,0.3662311253228608,-0.08582348289241133,0.2557789940064058,-0.38612978830674893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TIER_3_EXCLUDED
BAC,COMPLETE,2021-01-04,2026-01-23,60,0.37036550152897113,0.6493478484806373,-0.4664293541393869,2022-02-08,2023-10-27,0.31093714015937607,-0.12057841478069496,-0.1511752335550756,0.1450302094624858,0.2781852225359776,0.1385895987568788,0.28551841349254803,-0.2056160099822413,0.0,0.0,0.0,0.0,4.95,0.0,4.95,TIER_3_EXCLUDED
BLK,COMPLETE,2021-01-04,2026-01-23,60,0.31328197139302333,0.5086996129725668,-0.439016937192628,2021-11-12,2022-10-12,0.2888424196637798,-0.10145604532594645,-0.15254889627556814,0.12680671441210034,0.27070410095736824,0.2817933970599205,0.34204095480919994,-0.18688243511866556,0.04,0.0,0.0,0.0,4.95,0.0,4.95,TIER_3_EXCLUDED
BRK-B,COMPLETE,2021-01-04,2026-01-23,60,0.617295880011101,1.2525011537934527,-0.265789708200119,2022-03-28,2022-10-12,0.6026454319418768,-0.0617858002468392,-0.09568686770394012,0.1601769535039661,0.19144296492281931,0.6925384911136859,0.1747750670990432,0.428063757057158,0.08,0.0,18.0,10.0,15.0,10.0,53.0,TIER_3_EXCLUDED
C,COMPLETE,2021-01-04,2026-01-23,60,0.4863622272597657,0.9399627134616659,-0.47798908783289096,2021-06-02,2023-10-27,0.3839099958027893,-0.11264666969859205,-0.13627003872830423,0.18350478870370424,0.2909452683053995,0.37244002182554775,0.5505143885616917,-0.2585028265661282,0.2,0.0,12.0,0.0,4.95,0.0,16.95,TIER_3_EXCLUDED
CAT,COMPLETE,2021-01-04,2026-01-23,60,0.7601599575766483,1.760374600078663,-0.3404713871423416,2024-11-06,2025-04-08,0.8903155687572657,-0.10699165812400675,-0.15040688134488756,0.30312697668920907,0.34351582727623375,0.6303027150211676,0.2877866312429735,0.2715242216366843,0.2,0.0,25.0,15.0,10.05,0.0,50.05,TIER_3_EXCLUDED
CCI,COMPLETE,2021-01-04,2026-01-23,60,-0.41504044007137675,-0.813748274457795,-0.5547698579446673,2021-12-31,2023-10-19,-0.13112350784089824,-0.11763232152402031,-0.1347041523665128,-0.07274336981810159,0.27646310754289044,-0.5462972064925318,0.11087720422537935,-0.8000173019076985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TIER_3_EXCLUDED
CL,COMPLETE,2021-01-04,2026-01-23,60,0.02303521146644738,0.042164693322009915,-0.29045858781721456,2024-09-04,2025-11-03,0.15742649258054156,-0.06812503039044322,-0.08886140248783236,0.04572587671996131,0.16174701610134315,0.1978913913053167,0.1837151988026162,-0.11132171916163594,0.0,0.0,0.0,0.0,15.0,10.0,25.0,TIER_3_EXCLUDED
