ticker,sharpe,rolling_sharpe_mean,rolling_sharpe_std,rolling_sharpe_min,sharpe_consistency,data_quality,months_analyzed
COIN,-0.11764974527130764,0.2626922218265625,0.41623127139069616,-0.22876583735427777,0.0,PARTIAL,57
COP,0.6183905502284212,0.26621592511054964,0.5407104920505855,-0.5772650259458375,0.12,COMPLETE,60
COST,0.8352659528074223,0.9053163880510589,0.15788582941790522,0.5703885907141593,0.36,COMPLETE,60
CRM,-0.10793897603731248,0.17053265350528046,0.2034963033792283,-0.1464598587088164,0.0,COMPLETE,60
CVX,0.554330195821688,0.20234579870683375,0.3277144752111632,-0.30108237849734,0.0,COMPLETE,60
DDOG,0.013936908717582176,0.04133224530710142,0.24254017412060838,-0.34203094869508677,0.0,COMPLETE,60
DE,0.33856318283703773,0.13600870254751699,0.17512754363956706,-0.07348081479057748,0.0,COMPLETE,60
DHR,-0.06738941274083994,-0.23735100397131004,0.204543617318759,-0.5951344032515666,0.0,COMPLETE,60
DIS,-0.35620270267277043,-0.3247593713817385,0.2905450776530822,-0.7211647711456315,0.0,COMPLETE,60
DLR,0.055518889063811444,0.21089575909861813,0.28113649363020515,-0.14358645117367094,0.0,COMPLETE,60
EOG,0.5518865123011563,0.2551863118530882,0.39726086827381674,-0.39322725079476617,0.0,COMPLETE,60
EQIX,-0.03570232083109198,0.11045734962286899,0.16346172012082869,-0.16247079329807299,0.0,COMPLETE,60
GE,1.1526786034060774,1.5980252119485028,0.8234611579769419,0.6480434603098367,0.68,COMPLETE,60
GIS,-0.3579653357430704,-0.30031229950287525,0.5324279662929103,-1.1457368619462254,0.0,COMPLETE,60
GME,-0.2962374994190426,-0.22899196841639013,0.17599577205063974,-0.6498798278557733,0.0,COMPLETE,60
GOOGL,0.8956563610985337,0.5232285796811247,0.5478887407283106,-0.0147185708710883,0.2,COMPLETE,60
GS,0.9607524485366407,0.6610949856863388,0.42330253551913133,0.16831168109283753,0.28,COMPLETE,60
HD,0.23182526094878844,0.18930548394114147,0.17220108818465016,-0.15000174818897474,0.0,COMPLETE,60
HON,0.07912560726501074,-0.03353938348354179,0.1841845744339325,-0.30008013906051245,0.0,COMPLETE,60
INTC,-0.14106973917635102,-0.3680411446205344,0.30294768281276324,-0.6708421201460598,0.0,COMPLETE,60
INTU,0.20304335868409643,0.3279175710969879,0.2963415473070041,-0.1528802636928874,0.0,COMPLETE,60
ISRG,0.3369558816227909,0.5101663792858353,0.296172355343479,0.11528141187264711,0.04,COMPLETE,60
JNJ,0.3073188733009198,-0.1240233173530709,0.2530221475304403,-0.44693327870069627,0.0,COMPLETE,60
JPM,0.7042469378055567,0.8438440044138262,0.5581341375130756,0.23104749375417022,0.32,COMPLETE,60
K,0.39738831145698145,0.21194567512707876,0.20205486583935026,-0.1289364383995096,0.0,PARTIAL,59
KLAC,1.1277832173871403,0.9551550456920633,0.3883611657743788,0.3110041363941386,0.32,COMPLETE,60
KO,0.4898207511903411,0.25807984661036254,0.13636447968141077,0.01591260025607784,0.0,COMPLETE,60
LLY,1.142754675095087,1.447151398402996,0.4041603043570408,0.8493946410635476,0.76,COMPLETE,60
LMT,0.49533035220323113,0.24518559247616556,0.2692117311352053,-0.1844208467512507,0.0,COMPLETE,60
LOW,0.3436698532692693,0.17806879309197682,0.1359061794942876,-0.15439602448975007,0.0,COMPLETE,60
LRCX,0.7954913957152424,0.5289117889429296,0.48556725158904196,-0.07018762237586496,0.2,COMPLETE,60
MA,0.32798718180539665,0.5440454185380623,0.3143437806430136,0.08542169057903122,0.08,COMPLETE,60
MCD,0.4015900856994239,0.25453669095845255,0.14924084534912546,0.04457460013617765,0.0,COMPLETE,60
MDLZ,-0.03077628229700812,0.007536700865317998,0.2570331820692262,-0.49744348887267753,0.0,COMPLETE,60
META,0.40450074627567334,0.8713956055498648,0.7338630711286002,0.11894627989081591,0.36,COMPLETE,60
MPC,1.0011353230622233,0.9720960097127224,0.4546062428174894,0.31284026716478286,0.4,COMPLETE,60
MRK,0.3144783879616764,0.26885436342499497,0.447485083422517,-0.3597076691447848,0.0,COMPLETE,60
MS,0.7885390794072612,0.41833041511158164,0.3296947071920552,-0.028658890244855503,0.04,COMPLETE,60
MSFT,0.5231989608855904,0.6468883092292863,0.3450068071609997,0.1567208843846644,0.16,COMPLETE,60
NET,0.1980091435167334,0.2639203348402971,0.514573578104612,-0.4218201962716017,0.12,COMPLETE,60
NFLX,0.13601463273489192,0.8279279082684315,0.9107480751154128,-0.04545794124509384,0.36,COMPLETE,60
NKE,-0.516856287496959,-0.5912305733613483,0.17468483326600157,-0.816921955345329,0.0,COMPLETE,60
NOW,-0.0017319658007743607,0.4885082380171701,0.25198601256715514,0.1916587790338669,0.04,COMPLETE,60
NVDA,1.3105162359882652,1.6993635080082277,0.6974092264495325,0.9607968074273628,0.96,COMPLETE,60
O,0.10992897335253757,-0.19183801567970937,0.1283619663098283,-0.4168666056760661,0.0,COMPLETE,60
PEP,0.007634615038529029,-0.1842203130728617,0.4038554656184419,-0.6486195623785243,0.0,COMPLETE,60
PG,0.09526035351533654,0.14965458092648967,0.15780606580271092,-0.21926777189780436,0.0,COMPLETE,60
PLD,0.10160073252429516,-0.11284914853317143,0.20510106395882696,-0.4873040157242322,0.0,COMPLETE,60
PLTR,0.4384209399657843,0.9644285256200683,0.973128601459672,-0.3482741864257848,0.44,COMPLETE,60
PSA,0.19275502773636127,-0.04260383011949089,0.1782045595615622,-0.30556846072719196,0.0,COMPLETE,60
PSX,0.5098986139058025,0.5205400968790187,0.21661531396519745,0.10837570419542902,0.0,COMPLETE,60
QCOM,-0.06119813741841566,0.10640902426378039,0.18846362027737204,-0.2300246399753935,0.0,COMPLETE,60
RIOT,-0.0665659837863164,-0.06370025634230403,0.3183661609988877,-0.3950816518446278,0.0,COMPLETE,60
RTX,1.0077451110225601,0.5084664416637231,0.2696153443610848,0.16757630303105056,0.08,COMPLETE,60
SBUX,-0.059256687404067,-0.17150965250557096,0.20931247351503607,-0.6205013581000751,0.0,COMPLETE,60
SCHW,0.3792272085465917,0.015861073238842456,0.16324196998670554,-0.22115810927356014,0.0,COMPLETE,60
SLB,0.3827508876940256,0.06232542109620299,0.3155247718550278,-0.47643109944193596,0.0,COMPLETE,60
SNOW,-0.2008106303506455,-0.23718655032388836,0.39032276021911866,-0.9264918339384088,0.0,COMPLETE,60
SOXL,0.10352786547292965,0.0671896160194163,0.3259620968267089,-0.29695186886022035,0.0,COMPLETE,60
TGT,-0.36178094701007735,-0.48382394361831293,0.1422371096104685,-0.7495704302052443,0.0,COMPLETE,60
TMO,0.010494983125603909,-0.17366731029439414,0.23513769340024968,-0.5840591364281578,0.0,COMPLETE,60
TQQQ,0.2760725647987506,0.4099131239411166,0.5876847889041559,-0.10272635125794854,0.2,COMPLETE,60
TSLA,0.1166677787234156,0.028592843604167,0.27202238612634705,-0.27199612650323723,0.0,COMPLETE,60
UNH,-0.03972235318925846,-0.045515642516019944,0.46082927456092454,-0.834599581673039,0.0,COMPLETE,60
UPS,-0.2620977728423429,-0.6108558473662001,0.23401021301202482,-0.9587618653248272,0.0,COMPLETE,60
V,0.3845587226129766,0.5449823549728731,0.34552219493611297,-0.041151598619622747,0.08,COMPLETE,60
VICI,0.19302742127335135,0.09223965965506588,0.19767617451764063,-0.289719473827207,0.0,COMPLETE,60
VLO,0.7640094112035052,0.5220562938462582,0.30086914685440913,-0.037304104860539394,0.04,COMPLETE,60
VRTX,0.4536542237105768,0.7845506621081533,0.37079318418477797,0.23892030752118423,0.28,COMPLETE,60
WFC,0.7730459274855075,0.5224760322709386,0.2647825494450773,0.18042326043014137,0.04,COMPLETE,60
WMT,0.9015089871465866,1.0559101728776656,0.5204005312377387,0.15814254315392867,0.52,COMPLETE,60
XOM,0.9451103881345541,0.5612945987531507,0.3591221861090938,0.020319578996175803,0.08,COMPLETE,60
