symbol,calculation_timestamp,data_quality,trading_days,data_start_date,data_end_date,max_drawdown_3y,max_drawdown_peak_date,max_drawdown_trough_date,max_drawdown_recovery_days,max_drawdown_recovered,current_drawdown,sortino_ratio,calmar_ratio,var_95_daily,cvar_95_daily,var_95_monthly,cvar_95_monthly,beta,upside_capture,downside_capture,volatility_1y,volatility_3y,meets_mdd_threshold
DTE,2026-01-26T10:31:35.196890,COMPLETE,1254,2021-01-26,2026-01-23,-0.2893148450244698,2022-04-20,2023-10-05,361.0,True,-0.05421389847215369,1.2022,0.7041,-0.0202,-0.0273,,,0.375,0.371,0.322,0.1698743063906355,0.18794442338537612,True
DUK,2026-01-26T10:31:35.200175,COMPLETE,1254,2021-01-26,2026-01-23,-0.2415696507426737,2022-05-27,2022-10-12,639.0,True,-0.08200437773608502,1.3462,0.8518,-0.0176,-0.0252,,,0.233,0.232,0.156,0.16482911995998295,0.1783106512881444,True
ED,2026-01-26T10:31:35.223872,COMPLETE,1254,2021-01-26,2026-01-23,-0.22025705811271007,2022-09-12,2022-10-12,195.0,True,-0.05991492442754992,1.4802,1.031,-0.0195,-0.0261,,,0.177,0.208,0.1,0.19655988642795927,0.18657815546820636,True
EG,2026-01-26T10:31:35.230631,COMPLETE,1254,2021-01-26,2026-01-23,-0.2339182765247294,2024-10-04,2025-10-28,,False,-0.1818296753312431,0.829,0.8998,-0.0251,-0.04,,,0.57,0.526,0.471,0.25949921551482663,0.2598155130893795,True
EMR,2026-01-26T10:31:35.247929,COMPLETE,1254,2021-01-26,2026-01-23,-0.29616170792641383,2024-12-04,2025-04-08,83.0,True,-0.017170238253693494,1.0958,0.8344,-0.0246,-0.0374,,,1.034,1.061,1.04,0.3052674502879999,0.2595684567986312,True
ETR,2026-01-26T10:31:35.283671,COMPLETE,1254,2021-01-26,2026-01-23,-0.2513681138270704,2022-04-20,2023-10-02,302.0,True,-0.044401148482362575,1.4848,1.0992,-0.0212,-0.0315,,,0.459,0.498,0.358,0.21402203295452465,0.2227305460869325,True
EVRG,2026-01-26T10:31:35.287253,COMPLETE,1254,2021-01-26,2026-01-23,-0.29840656687590533,2022-04-20,2023-11-13,379.0,True,-0.029739776951672955,1.3427,0.7486,-0.0201,-0.0278,,,0.368,0.378,0.297,0.164299328035982,0.19020342696855874,True
EXC,2026-01-26T10:31:35.294423,COMPLETE,1254,2021-01-26,2026-01-23,-0.29072681704260656,2022-04-20,2024-02-05,420.0,True,-0.0786281890422417,1.1899,0.7664,-0.0211,-0.0308,,,0.363,0.394,0.308,0.18119406803241728,0.20576335127636855,True
EXE,2026-01-26T10:31:35.297786,COMPLETE,1242,2021-02-11,2026-01-23,-0.2968766656006823,2022-11-30,2023-03-15,614.0,True,-0.10904060541948088,1.2234,1.1376,-0.0348,-0.05,,,0.719,0.816,0.62,0.31887429693204006,0.3490767494180649,True
FE,2026-01-26T10:31:35.332051,COMPLETE,1254,2021-01-26,2026-01-23,-0.28595519152011556,2022-04-20,2023-10-02,331.0,True,-0.024308466051969752,1.2911,0.8014,-0.0195,-0.0278,,,0.358,0.355,0.259,0.2007814284276127,0.1973522849271255,True
GD,2026-01-26T10:31:35.377984,COMPLETE,1254,2021-01-26,2026-01-23,-0.2254527655408712,2024-11-13,2025-02-14,159.0,True,-0.011187326473950715,1.8181,1.332,-0.0176,-0.0284,,,0.578,0.618,0.479,0.2197580968322511,0.19911313692204194,True
GILD,2026-01-26T10:31:35.398644,COMPLETE,1254,2021-01-26,2026-01-23,-0.26590658330268474,2024-01-19,2024-06-03,121.0,True,0.0,1.6036,1.068,-0.022,-0.03,,,0.41,0.474,0.313,0.28885129423870554,0.2369292770525988,True
GWW,2026-01-26T10:31:35.439487,COMPLETE,1254,2021-01-26,2026-01-23,-0.24504788899999172,2024-11-11,2025-04-08,,False,-0.12580056028890416,1.6971,1.3021,-0.0229,-0.0322,,,0.777,0.883,0.75,0.23822093885036386,0.24455566175729732,True
HIG,2026-01-26T10:31:35.459893,COMPLETE,1254,2021-01-26,2026-01-23,-0.18638249177513938,2022-04-13,2022-09-26,57.0,True,-0.07944460349269965,1.6878,1.6724,-0.0224,-0.0321,,,0.633,0.67,0.506,0.21064094021747223,0.23845994279271684,True
HON,2026-01-26T10:31:35.472973,COMPLETE,1254,2021-01-26,2026-01-23,-0.2721516040415329,2021-08-16,2022-09-30,749.0,True,-0.06871320437342306,0.8257,0.636,-0.0202,-0.0311,,,0.786,0.722,0.777,0.26025342737022866,0.2149606601605956,True
HWM,2026-01-26T10:31:35.506277,COMPLETE,1254,2021-01-26,2026-01-23,-0.23205673758865247,2021-06-08,2021-12-01,77.0,True,-0.044933333333333395,2.5585,2.4953,-0.029,-0.0419,,,1.14,1.309,0.969,0.3411878652329124,0.3185286968190819,True
IBM,2026-01-26T10:31:35.513003,COMPLETE,1254,2021-01-26,2026-01-23,-0.19821428571428573,2025-06-30,2025-08-12,56.0,True,-0.07156009905390824,1.6596,1.6455,-0.0195,-0.0328,,,0.611,0.688,0.521,0.31288247155310267,0.2344522174575815,True
ITW,2026-01-26T10:31:35.564343,COMPLETE,1254,2021-01-26,2026-01-23,-0.2804352653786365,2022-01-04,2022-07-14,203.0,True,-0.04376481042654026,1.056,0.7042,-0.0205,-0.0299,,,0.802,0.767,0.784,0.2307115041631967,0.20723799102321558,True
